id,group,title,states,is_active,supersedes,bodyText,rule_type,content_type,verification_status,notes
rent-payment,Rent & Payment,Rent Payment,CO;WY,TRUE,,"Tenant shall pay Landlord monthly rent of {{monthly_rent}} (Monthly Rent) in advance on the due date specified in this Lease, without demand, deduction, or setoff. If the due date falls on a weekend or legal holiday, rent is due on the next business day.",RECOMMENDED,LEASE_CLAUSE,VERIFIED,"CO added - verified this session (statute walk + full-library audit; content itself unchanged WY added 2026-08-21 (full-library cross-check pass): generic mechanics, no CO-specific statutory language or number, confirmed no conflict with WY findings from this project."
late-fee,Rent & Payment,Late Fee,CO;WY,TRUE,,"If Tenant fails to pay Monthly Rent in full within {{late_fee_grace_days}} days after it is due, a late fee of {{late_fee_amount}} will be assessed. Acceptance of a late payment does not waive Landlord's right to require full payment of Rent on the date it is due or to pursue any other remedy available under this Lease.",CONSTRAINED,LEASE_CLAUSE,VERIFIED,"CO added - verified this session (statute walk + full-library audit; content itself EDITED this session WY added 2026-08-21 (full-library cross-check pass): generic mechanics, no CO-specific statutory language or number, confirmed no conflict with WY findings from this project."
returned-payments,Rent & Payment,Returned Checks / Dishonored Payments,CO;WY,TRUE,,"If any payment of Rent is returned for insufficient funds or otherwise fails, Landlord may require that the payment be replaced by a cashier's check, certified check, or money order, and may charge Tenant any fee associated with the failed payment. If more than two of Tenant's payments during the Term are returned for insufficient funds, Landlord may require all future payments of Rent be made by cashier's check, certified check, or money order.",RECOMMENDED,LEASE_CLAUSE,VERIFIED,"CO added - verified this session (statute walk + full-library audit; content itself unchanged WY added 2026-08-21 (full-library cross-check pass): generic mechanics, no CO-specific statutory language or number, confirmed no conflict with WY findings from this project."
due-at-signing,Rent & Payment,Amounts Due Upfront,CO;WY,TRUE,,"Tenant will pay Landlord the following amounts, at the time specified for each: [specify what is due and when here, e.g. first month's Monthly Rent ({{monthly_rent}}) due at signing; Security Deposit ({{security_deposit}}) due at signing; Pet Deposit ({{pet_deposit}}) due at signing; last month's Monthly Rent due on the Start Date]. These amounts are due in addition to, and are not credited against, Rent due for any other month of the Term.",RECOMMENDED,LEASE_CLAUSE,VERIFIED,"CO added - verified this session (statute walk + full-library audit; content itself unchanged WY added 2026-08-21 (full-library cross-check pass): generic mechanics, no CO-specific statutory language or number, confirmed no conflict with WY findings from this project."
application-of-payments,Rent & Payment,Application of Payments,CO;WY,TRUE,,"All payments received shall be applied first to outstanding fees, charges, costs, utilities, or other amounts due under this Lease, and then to base rent, unless otherwise required by applicable law. Nothing in this provision limits Tenant's statutory right to cure nonpayment of base rent.",CONSTRAINED,LEASE_CLAUSE,VERIFIED,"CO added - verified this session (statute walk + full-library audit; content itself unchanged WY added 2026-08-21 (full-library cross-check pass): generic mechanics, no CO-specific statutory language or number, confirmed no conflict with WY findings from this project."
late-fee-limit-co,Rent & Payment,Late Fee Limit,CO,TRUE,,"Any late fee assessed under this Lease will not exceed the greater of $50.00 or 5% of the amount of Rent past due, and no late fee will be assessed until at least 7 days after Rent is due, as required by Colorado law.",CONSTRAINED,LEASE_CLAUSE,VERIFIED,"UNCHANGED - pre-existing tag from before this project, not touched this session | Re-verified 2026-08-20: figures confirmed current and accurate, no change needed."
nsf-fee-limit-co,Rent & Payment,NSF Fee Limit,CO,TRUE,,"Any fee charged for a dishonored or returned payment under this Lease will not exceed $20.00 per occurrence, as required by Colorado law.",CONSTRAINED,LEASE_CLAUSE,VERIFIED,"UNCHANGED - pre-existing tag from before this project, not touched this session | Re-verified 2026-08-20: figures confirmed current and accurate, no change needed."
late-fee-limit-ny,Rent & Payment,Late Fee Limit,NY,FALSE,,"Any late fee assessed under this Lease will not exceed the lesser of $50.00 or 5% of Monthly Rent, and no late fee will be assessed until at least 5 days after Rent is due, as required by New York law.",CONSTRAINED,LEASE_CLAUSE,UNVERIFIED,"UNCHANGED - pre-existing tag from before this project, not touched this session"
late-fee-limit-md,Rent & Payment,Late Fee Limit,MD,FALSE,,"Any late fee assessed under this Lease will not exceed 5% of the amount of Rent past due, as required by Maryland law.",CONSTRAINED,LEASE_CLAUSE,UNVERIFIED,"UNCHANGED - pre-existing tag from before this project, not touched this session"
late-fee-limit-mn,Rent & Payment,Late Fee Limit,MN,FALSE,,"Any late fee assessed under this Lease will not exceed 8% of the overdue payment, and must be agreed to in writing by both parties, as required by Minnesota law.",CONSTRAINED,LEASE_CLAUSE,UNVERIFIED,"UNCHANGED - pre-existing tag from before this project, not touched this session"
